Experiment_ID,Algorithm,Configuration,Feature_Set,Scaler,K,Inertia,Silhouette,Davies_Bouldin,Calinski_Harabasz,Smallest_Cluster_Percentage,Largest_Cluster_Percentage,Noise_Percentage,BIC,Min_Samples,Distance_Quantile,Epsilon
KMeans_Core_Log_RobustScaler_k9,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,9,979.1094530561861,0.28857164192004947,1.0157143077648207,2718.157546556616,5.006922011998154,14.99769266266728,0.0,,,,
KMeans_Core_Log_RobustScaler_k10,KMeans,Core_Log_RobustScaler,Core_Log,RobustScaler,10,904.8685571460453,0.27815440538173364,1.0105428113071402,2653.2177405585385,1.8458698661744346,14.32856483617905,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k2,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,2,16883.87564273973,0.8936919352994607,0.7970565817391501,1228.00541501069,0.3922473465620674,99.60775265343793,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k3,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,3,12959.848194911408,0.3651380176106173,0.9582962854191632,1455.4058592476986,0.3922473465620674,72.72727272727273,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k4,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,4,9994.343526220919,0.4108284267127966,0.9767700899530115,1686.1503639818557,0.3922473465620674,60.33687125057683,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k5,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,5,8572.050351082476,0.434332060932005,0.9482398873996226,1653.6903091328325,0.2768804799261652,58.629441624365484,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k6,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,6,7240.794671424128,0.4275259992320639,0.9077659156355858,1724.9405238679356,0.1384402399630826,58.8371019843101,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k7,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,7,6434.65851961195,0.4029127187771886,0.8469277637008127,1707.506373096927,0.0692201199815413,52.81495154591601,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k8,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,8,5639.548189336394,0.40790327811627536,0.8569409003556516,1756.6839699571972,0.0692201199815413,51.19981541301338,0.0,,,,
KMeans_Enhanced_Raw_StandardScaler_k9,KMeans,Enhanced_Raw_StandardScaler,Enhanced_Raw,StandardScaler,9,5172.646993475938,0.32738321330645165,0.9282403784163102,1724.248439002881,0.0692201199815413,39.91693585602215,0.0,,,,
